Variable,RType,SASType,SASLen,SASFormat,SASInformat,SASLabel
cannabis_reason_pain_q6,numeric,Num,8,11.,11.,Reason use med cannabis: relieve pain
cannabis_reason_sleep_q6,numeric,Num,8,11.,11.,Reason use med cannabis: improve sleep
cannabis_reason_relax_q6,numeric,Num,8,11.,11.,Reason use med cannabis: relax
cannabis_reason_other_q6,numeric,Num,8,11.,11.,Reason use med cannabis: other reason
medi_cannabis_as_rx_med_q6,numeric,Num,8,11.,11.,Medicinal cannabis as substitute for prescription
happiness_q6,numeric,Num,8,11.,11.,Overall happiness
recent_colonoscopy_q6,numeric,Num,8,11.,11.,Colonoscopy in last 3 years
recent_sigmoidoscopy_q6,numeric,Num,8,11.,11.,Sigmoidoscopy in last 3 years
age_recent_colonoscopy_q6,numeric,Num,8,11.,11.,Age at recent colonoscopy
age_recent_sigmoidoscopy_q6,numeric,Num,8,11.,11.,Age at recent sigmoidoscopy
recent_chest_xray_q6,numeric,Num,8,11.,11.,Recent chest x-ray
